ward_code,ward_name,observation
E05014020,South Balham,6420.5
E05014021,Southfields,11082
E05014022,Thamesfield,10508.5
E05014023,Tooting Bec,14863.8
E05014024,Tooting Broadway,10559.4
E05014025,Trinity (Wandsworth),11230.2
E05014026,Wandle (Wandsworth),12723.9
E05014027,Wandsworth Common,5946.5
E05014028,Wandsworth Town,11586
E05014029,West Hill (Wandsworth),9976.3
E05014030,West Putney,6685.4
E05014053,Abbey (Barking and Dagenham),8642.9
E05014054,Alibon,6991.8
E05014055,Barking Riverside,2246.8
E05014056,Beam,3106.2
E05014057,Becontree,10663.8
E05014058,Chadwell Heath,3987.9
E05014059,Eastbrook & Rush Green,2566.4
E05014060,Eastbury,7320.5
E05014061,Gascoigne,11751.1
E05014062,Goresbrook,8124.1
E05014063,Heath (Barking and Dagenham),8322.4
E05014064,Longbridge,8072.1
E05014065,Mayesbrook,9479.6
E05014066,Northbury,13186.8
E05014067,Parsloes,7079.3
E05014068,Thames View,3917.1
E05014069,Valence,10265.2
E05014070,Village (Barking and Dagenham),5607
E05014071,Whalebone,8098.1
E05014072,Abbey Wood,6526.7
E05014073,Blackheath Westcombe,5605.5
E05014074,Charlton Hornfair,9211.2
E05014075,Charlton Village & Riverside,4876
E05014076,East Greenwich,12892.9
E05014077,Eltham Page,6415.6
E05014078,Eltham Park & Progress,4217
E05014079,Eltham Town & Avery Hill,2956.9
E05014080,Greenwich Creekside,22164
E05014081,Greenwich Park,5198.4
E05014082,Greenwich Peninsula,5043.1
E05014083,Kidbrooke Park,5514.6
E05014084,Kidbrooke Village & Sutcliffe,4737.7
E05014085,Middle Park & Horn Park,4297.4
E05014086,"Mottingham, Coldharbour & New Eltham",5227
E05014087,Plumstead & Glyndon,12246.3
E05014088,Plumstead Common,6182.6
E05014089,Shooters Hill,4738.6
E05014090,Thamesmead Moorings,5564.4
E05014091,West Thamesmead,5786.2
E05014092,Woolwich Arsenal,12350.7
E05014093,Woolwich Common,6138.4
E05014094,Woolwich Dockyard,11879.3
E05014095,Brixton Acre Lane,14463.7
E05014096,Brixton North,17815.1
E05014097,Brixton Rush Common,15354.3
E05014098,Brixton Windrush,15273.8
E05014099,Clapham Common & Abbeville,9269.9
E05014100,Clapham East,15630.4
E05014101,Clapham Park,13475
E05014102,Clapham Town,12762
E05014103,Gipsy Hill,9800.4
E05014104,Herne Hill & Loughborough Junction,7781.1
E05014105,Kennington (Lambeth),14280.3
E05014106,Knight's Hill,10220.7
E05014107,Myatt's Fields,13351.2
E05014108,Oval,15734.2
E05014109,St Martin's (Lambeth),12430.1
E05014110,Stockwell East,17353
E05014111,Stockwell West & Larkhall,16766.2
E05014112,Streatham Common & Vale,9083.4
E05014113,Streatham Hill East,11727.6
E05014114,Streatham Hill West & Thornton,11891.4
E05014115,Streatham St Leonard's,10770.2
E05014116,Streatham Wells,10268.4
E05014117,Vauxhall (Lambeth),14180.6
E05014118,Waterloo & South Bank,7515.1
E05014119,West Dulwich,7675.3
E09000001,City of London,2975
